model_name,input,input_length,sorted,output,output_length,is_sorted,is_correct,error_list,hallucination_count,missing_count,time_taken
claude-sonnet-4-5,"[1593, 3883, 2442, 883, 7171, 5073, 5104, 5546, 8626, 7520]",10,"[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]","[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]",10,True,True,[],0,0,1.5852596759796143
gpt-5.2,"[1593, 3883, 2442, 883, 7171, 5073, 5104, 5546, 8626, 7520]",10,"[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]","[8626, 7520, 7171, 5546, 5104, 5073, 3883, 2442, 1593, 883]",10,True,True,[],0,0,0.8279092311859131
gemini-3-pro-preview,"[37, 2735, 9910, 9657, 3627, 467, 8605, 7973, 1973, 4580]",10,"[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]","[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]",10,True,True,[],0,0,8.816823482513428
gemini-2.5-flash,"[37, 2735, 9910, 9657, 3627, 467, 8605, 7973, 1973, 4580]",10,"[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]","[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]",10,True,True,[],0,0,1.8236711025238037
claude-sonnet-4-5,"[37, 2735, 9910, 9657, 3627, 467, 8605, 7973, 1973, 4580]",10,"[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]","[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]",10,True,True,[],0,0,1.6118149757385254
gpt-5.2,"[37, 2735, 9910, 9657, 3627, 467, 8605, 7973, 1973, 4580]",10,"[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]","[9910, 9657, 8605, 7973, 4580, 3627, 2735, 1973, 467, 37]",10,True,True,[],0,0,1.5626347064971924
gemini-3-pro-preview,"[215, 9359, 4932, 8234, 3721, 8540, 1136, 1337, 6494, 1007]",10,"[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]","[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]",10,True,True,[],0,0,7.551064491271973
gemini-2.5-flash,"[215, 9359, 4932, 8234, 3721, 8540, 1136, 1337, 6494, 1007]",10,"[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]","[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]",10,True,True,[],0,0,0.8557093143463135
claude-sonnet-4-5,"[215, 9359, 4932, 8234, 3721, 8540, 1136, 1337, 6494, 1007]",10,"[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]","[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]",10,True,True,[],0,0,2.208082437515259
gpt-5.2,"[215, 9359, 4932, 8234, 3721, 8540, 1136, 1337, 6494, 1007]",10,"[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]","[9359, 8540, 8234, 6494, 4932, 3721, 1337, 1136, 1007, 215]",10,True,True,[],0,0,0.937795877456665
gemini-3-pro-preview,"[599, 407, 5678, 5481, 4259, 9530, 7415, 3123, 9225, 9664]",10,"[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]","[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]",10,True,True,[],0,0,16.139407634735107
gemini-2.5-flash,"[599, 407, 5678, 5481, 4259, 9530, 7415, 3123, 9225, 9664]",10,"[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]","[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]",10,True,True,[],0,0,1.2032098770141602
claude-sonnet-4-5,"[599, 407, 5678, 5481, 4259, 9530, 7415, 3123, 9225, 9664]",10,"[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]","[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]",10,True,True,[],0,0,2.32716703414917
gpt-5.2,"[599, 407, 5678, 5481, 4259, 9530, 7415, 3123, 9225, 9664]",10,"[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]","[9664, 9530, 9225, 7415, 5678, 5481, 4259, 3123, 599, 407]",10,True,True,[],0,0,1.1596274375915527
gemini-3-pro-preview,"[8229, 7667, 6693, 7138, 5880, 6231, 1543, 2319, 137, 8661]",10,"[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]","[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]",10,True,True,[],0,0,9.509873151779175
gemini-2.5-flash,"[8229, 7667, 6693, 7138, 5880, 6231, 1543, 2319, 137, 8661]",10,"[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]","[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]",10,True,True,[],0,0,1.7061443328857422
claude-sonnet-4-5,"[8229, 7667, 6693, 7138, 5880, 6231, 1543, 2319, 137, 8661]",10,"[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]","[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]",10,True,True,[],0,0,1.6363131999969482
gpt-5.2,"[8229, 7667, 6693, 7138, 5880, 6231, 1543, 2319, 137, 8661]",10,"[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]","[8661, 8229, 7667, 7138, 6693, 6231, 5880, 2319, 1543, 137]",10,True,True,[],0,0,1.65940523147583
gemini-3-pro-preview,"[7860, 4297, 2718, 2266, 8383, 5222, 318, 4419, 3363, 1150]",10,"[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]","[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]",10,True,True,[],0,0,10.38982105255127
gemini-2.5-flash,"[7860, 4297, 2718, 2266, 8383, 5222, 318, 4419, 3363, 1150]",10,"[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]","[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]",10,True,True,[],0,0,1.2466607093811035
claude-sonnet-4-5,"[7860, 4297, 2718, 2266, 8383, 5222, 318, 4419, 3363, 1150]",10,"[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]","[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]",10,True,True,[],0,0,1.8226451873779297
gpt-5.2,"[7860, 4297, 2718, 2266, 8383, 5222, 318, 4419, 3363, 1150]",10,"[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]","[8383, 7860, 5222, 4419, 4297, 3363, 2718, 2266, 1150, 318]",10,True,True,[],0,0,0.9518547058105469
gemini-3-pro-preview,"[737, 3600, 9241, 727, 3855, 2812, 6539, 8731, 4118, 5192]",10,"[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]","[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]",10,True,True,[],0,0,7.742294549942017
gemini-2.5-flash,"[737, 3600, 9241, 727, 3855, 2812, 6539, 8731, 4118, 5192]",10,"[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]","[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]",10,True,True,[],0,0,1.8023056983947754
claude-sonnet-4-5,"[737, 3600, 9241, 727, 3855, 2812, 6539, 8731, 4118, 5192]",10,"[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]","[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]",10,True,True,[],0,0,1.5815064907073975
gpt-5.2,"[737, 3600, 9241, 727, 3855, 2812, 6539, 8731, 4118, 5192]",10,"[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]","[9241, 8731, 6539, 5192, 4118, 3855, 3600, 2812, 737, 727]",10,True,True,[],0,0,1.5973942279815674
gemini-3-pro-preview,"[1208, 7834, 6062, 8215, 9001, 4833, 6762, 3667, 2202, 4602]",10,"[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]","[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]",10,True,True,[],0,0,8.536561489105225
gemini-2.5-flash,"[1208, 7834, 6062, 8215, 9001, 4833, 6762, 3667, 2202, 4602]",10,"[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]","[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]",10,True,True,[],0,0,4.442156076431274
claude-sonnet-4-5,"[1208, 7834, 6062, 8215, 9001, 4833, 6762, 3667, 2202, 4602]",10,"[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]","[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]",10,True,True,[],0,0,1.2162883281707764
gpt-5.2,"[1208, 7834, 6062, 8215, 9001, 4833, 6762, 3667, 2202, 4602]",10,"[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]","[9001, 8215, 7834, 6762, 6062, 4833, 4602, 3667, 2202, 1208]",10,True,True,[],0,0,0.8215963840484619
gemini-3-pro-preview,"[5354, 6298, 4754, 182, 3327, 6545, 7664, 7405, 2572, 6326]",10,"[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]","[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]",10,True,True,[],0,0,9.085447549819946
gemini-2.5-flash,"[5354, 6298, 4754, 182, 3327, 6545, 7664, 7405, 2572, 6326]",10,"[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]","[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]",10,True,True,[],0,0,2.7314391136169434
claude-sonnet-4-5,"[5354, 6298, 4754, 182, 3327, 6545, 7664, 7405, 2572, 6326]",10,"[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]","[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]",10,True,True,[],0,0,1.6047680377960205
gpt-5.2,"[5354, 6298, 4754, 182, 3327, 6545, 7664, 7405, 2572, 6326]",10,"[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]","[7664, 7405, 6545, 6326, 6298, 5354, 4754, 3327, 2572, 182]",10,True,True,[],0,0,2.7326953411102295
gemini-3-pro-preview,"[8432, 4193, 2108, 459, 393, 2144, 6279, 5152, 6279, 8682]",10,"[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]","[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]",10,True,True,[],0,0,7.61866021156311
gemini-2.5-flash,"[8432, 4193, 2108, 459, 393, 2144, 6279, 5152, 6279, 8682]",10,"[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]","[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]",10,True,True,[],0,0,2.0154030323028564
claude-sonnet-4-5,"[8432, 4193, 2108, 459, 393, 2144, 6279, 5152, 6279, 8682]",10,"[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]","[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]",10,True,True,[],0,0,1.2164280414581299
gpt-5.2,"[8432, 4193, 2108, 459, 393, 2144, 6279, 5152, 6279, 8682]",10,"[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]","[8682, 8432, 6279, 6279, 5152, 4193, 2144, 2108, 459, 393]",10,True,True,[],0,0,1.025876760482788
gemini-3-pro-preview,"[7770, 2861, 2714, 9322, 3068, 7612, 1744, 4905, 829, 32]",10,"[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]","[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]",10,True,True,[],0,0,6.759376287460327
gemini-2.5-flash,"[7770, 2861, 2714, 9322, 3068, 7612, 1744, 4905, 829, 32]",10,"[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]","[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]",10,True,True,[],0,0,2.7514421939849854
claude-sonnet-4-5,"[7770, 2861, 2714, 9322, 3068, 7612, 1744, 4905, 829, 32]",10,"[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]","[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]",10,True,True,[],0,0,1.601405143737793
gpt-5.2,"[7770, 2861, 2714, 9322, 3068, 7612, 1744, 4905, 829, 32]",10,"[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]","[9322, 7770, 7612, 4905, 3068, 2861, 2714, 1744, 829, 32]",10,True,True,[],0,0,2.114189863204956
gemini-3-pro-preview,"[3969, 3443, 8458, 2161, 4055, 1724, 2615, 8051, 4949, 8644]",10,"[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]","[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]",10,True,True,[],0,0,11.979397058486938
gemini-2.5-flash,"[3969, 3443, 8458, 2161, 4055, 1724, 2615, 8051, 4949, 8644]",10,"[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]","[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]",10,True,True,[],0,0,2.3225162029266357
claude-sonnet-4-5,"[3969, 3443, 8458, 2161, 4055, 1724, 2615, 8051, 4949, 8644]",10,"[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]","[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]",10,True,True,[],0,0,1.6254842281341553
gpt-5.2,"[3969, 3443, 8458, 2161, 4055, 1724, 2615, 8051, 4949, 8644]",10,"[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]","[8644, 8458, 8051, 4949, 4055, 3969, 3443, 2615, 2161, 1724]",10,True,True,[],0,0,0.9370522499084473
gemini-3-pro-preview,"[3246, 5391, 6989, 4137, 6208, 9134, 7315, 5233, 4568, 9239]",10,"[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]","[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]",10,True,True,[],0,0,10.538690090179443
gemini-2.5-flash,"[3246, 5391, 6989, 4137, 6208, 9134, 7315, 5233, 4568, 9239]",10,"[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]","[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]",10,True,True,[],0,0,1.5520131587982178
claude-sonnet-4-5,"[3246, 5391, 6989, 4137, 6208, 9134, 7315, 5233, 4568, 9239]",10,"[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]","[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]",10,True,True,[],0,0,1.3769633769989014
gpt-5.2,"[3246, 5391, 6989, 4137, 6208, 9134, 7315, 5233, 4568, 9239]",10,"[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]","[9239, 9134, 7315, 6989, 6208, 5391, 5233, 4568, 4137, 3246]",10,True,True,[],0,0,0.9134840965270996
gemini-3-pro-preview,"[6357, 4720, 1440, 2441, 9017, 8174, 3393, 9800, 1029, 4589]",10,"[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]","[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]",10,True,True,[],0,0,10.527511358261108
gemini-2.5-flash,"[6357, 4720, 1440, 2441, 9017, 8174, 3393, 9800, 1029, 4589]",10,"[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]","[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]",10,True,True,[],0,0,2.037271499633789
claude-sonnet-4-5,"[6357, 4720, 1440, 2441, 9017, 8174, 3393, 9800, 1029, 4589]",10,"[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]","[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]",10,True,True,[],0,0,2.1655805110931396
gpt-5.2,"[6357, 4720, 1440, 2441, 9017, 8174, 3393, 9800, 1029, 4589]",10,"[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]","[9800, 9017, 8174, 6357, 4720, 4589, 3393, 2441, 1440, 1029]",10,True,True,[],0,0,1.238063097000122
gemini-3-pro-preview,"[3402, 107, 4590, 3785, 6804, 6406, 3762, 9197, 5340, 8000]",10,"[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]","[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]",10,True,True,[],0,0,7.551565170288086
gemini-2.5-flash,"[3402, 107, 4590, 3785, 6804, 6406, 3762, 9197, 5340, 8000]",10,"[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]","[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]",10,True,True,[],0,0,1.7270545959472656
claude-sonnet-4-5,"[3402, 107, 4590, 3785, 6804, 6406, 3762, 9197, 5340, 8000]",10,"[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]","[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]",10,True,True,[],0,0,1.2790453433990479
gpt-5.2,"[3402, 107, 4590, 3785, 6804, 6406, 3762, 9197, 5340, 8000]",10,"[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]","[9197, 8000, 6804, 6406, 5340, 4590, 3785, 3762, 3402, 107]",10,True,True,[],0,0,0.8031644821166992
gemini-3-pro-preview,"[4283, 6162, 8848, 8282, 2929, 7492, 9949, 1369, 2433, 5273]",10,"[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]","[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]",10,True,True,[],0,0,11.118680953979492
gemini-2.5-flash,"[4283, 6162, 8848, 8282, 2929, 7492, 9949, 1369, 2433, 5273]",10,"[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]","[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]",10,True,True,[],0,0,1.5049400329589844
claude-sonnet-4-5,"[4283, 6162, 8848, 8282, 2929, 7492, 9949, 1369, 2433, 5273]",10,"[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]","[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]",10,True,True,[],0,0,1.6106109619140625
gpt-5.2,"[4283, 6162, 8848, 8282, 2929, 7492, 9949, 1369, 2433, 5273]",10,"[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]","[9949, 8848, 8282, 7492, 6162, 5273, 4283, 2929, 2433, 1369]",10,True,True,[],0,0,1.014556884765625
gemini-3-pro-preview,"[460, 6023, 3669, 467, 7472, 5580, 9833, 254, 7856, 3744]",10,"[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]","[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]",10,True,True,[],0,0,8.840216875076294
gemini-2.5-flash,"[460, 6023, 3669, 467, 7472, 5580, 9833, 254, 7856, 3744]",10,"[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]","[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]",10,True,True,[],0,0,2.1579198837280273
claude-sonnet-4-5,"[460, 6023, 3669, 467, 7472, 5580, 9833, 254, 7856, 3744]",10,"[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]","[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]",10,True,True,[],0,0,1.9831724166870117
gpt-5.2,"[460, 6023, 3669, 467, 7472, 5580, 9833, 254, 7856, 3744]",10,"[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]","[9833, 7856, 7472, 6023, 5580, 3744, 3669, 467, 460, 254]",10,True,True,[],0,0,1.4774198532104492
gemini-3-pro-preview,"[2085, 8260, 6242, 9375, 8283, 666, 3458, 3091, 977, 7314]",10,"[9375, 8283, 8260, 7314, 6242, 3458, 3091, 2085, 977, 666]","[9375, 8283, 8260, 7314, 6242, 3458, 3091, 2085, 977, 666]",10,True,True,[],0,0,11.135942935943604
